id,lym,epi,fib,inf,x,y,gt,Cell_density,Node_Entropy
0,0.0,1.0,0.0,0.0,278,911,epithelial,72.2815199836471,0.0
1,0.0,1.0,0.0,0.0,250,819,epithelial,72.95829904657434,0.0
2,0.0,1.0,0.0,0.0,271,790,epithelial,68.97737925607812,0.0
3,0.0,1.0,0.0,0.0,310,776,epithelial,65.01966595476465,0.45056120886630463
4,0.0,1.0,0.0,0.0,340,863,epithelial,84.96074707753918,0.37677016125643675
5,0.0,1.0,0.0,0.0,416,836,epithelial,62.35720867535903,0.5004024235381879
6,0.0,1.0,0.0,0.0,411,884,epithelial,77.25468764126119,0.37677016125643675
7,0.0,1.0,0.0,0.0,322,965,epithelial,89.56732239380722,0.0
8,0.0,1.0,0.0,0.0,361,1030,epithelial,73.70868196734881,0.0
9,0.0,1.0,0.0,0.0,404,1058,epithelial,89.05524564024391,0.0
10,0.0,1.0,0.0,0.0,455,1043,epithelial,64.43824726189567,0.0
11,0.0,1.0,0.0,0.0,487,1066,epithelial,86.36909484256029,0.0
12,0.0,1.0,0.0,0.0,487,972,epithelial,61.43511864142238,0.0
13,0.0,1.0,0.0,0.0,523,984,epithelial,64.28013160890065,0.0
14,0.0,1.0,0.0,0.0,576,950,epithelial,75.43628366772998,0.0
15,0.0,1.0,0.0,0.0,530,929,epithelial,59.65858879658003,0.0
16,0.0,1.0,0.0,0.0,521,890,epithelial,71.20392465564854,0.0
17,0.0,1.0,0.0,0.0,585,875,epithelial,92.02544030437673,0.0
18,0.0,1.0,0.0,0.0,528,822,epithelial,61.92481729447267,0.0
19,0.0,1.0,0.0,0.0,523,784,epithelial,115.5210633131465,0.0
20,0.0,1.0,0.0,0.0,483,812,epithelial,93.2875622806494,0.0
21,0.0,1.0,0.0,0.0,607,823,epithelial,120.49155271074297,0.0
22,0.0,1.0,0.0,0.0,719,829,epithelial,99.98604141116637,0.0
23,0.0,1.0,0.0,0.0,742,788,epithelial,111.7015140897104,0.0
24,0.0,1.0,0.0,0.0,839,812,epithelial,107.30250199507826,0.0
25,0.0,1.0,0.0,0.0,804,843,epithelial,72.78763261220439,0.0
26,0.0,1.0,0.0,0.0,900,844,epithelial,86.01751834711945,0.37677016125643675
27,0.0,1.0,0.0,0.0,808,895,epithelial,78.63034825398508,0.410116318288409
28,0.0,1.0,0.0,0.0,724,931,epithelial,105.56292147425474,0.34883209584303193
29,0.0,1.0,0.0,0.0,613,990,epithelial,73.80952850824056,0.0
30,0.0,1.0,0.0,0.0,566,1009,epithelial,55.92485766179205,0.0
31,0.0,1.0,0.0,0.0,575,1029,epithelial,69.2769499079216,0.0
32,0.0,1.0,0.0,0.0,629,1049,epithelial,58.722979228606974,0.0
33,0.0,1.0,0.0,0.0,620,1097,epithelial,64.67461892387179,0.5623351446188083
34,0.0,1.0,0.0,0.0,563,1133,epithelial,61.70270076468217,0.410116318288409
35,0.0,1.0,0.0,0.0,527,1138,epithelial,54.10736543672267,0.7963116401738131
36,0.0,1.0,0.0,0.0,497,1145,epithelial,57.50513215195235,0.45056120886630463
37,0.0,1.0,0.0,0.0,361,1165,epithelial,58.84112069409813,0.0
38,0.0,1.0,0.0,0.0,355,1136,epithelial,62.502305770249514,0.0
39,0.0,1.0,0.0,0.0,376,1180,epithelial,30.893176209449766,0.0
40,0.0,1.0,0.0,0.0,411,1174,epithelial,46.326522973244664,0.37677016125643675
41,0.0,1.0,0.0,0.0,426,1172,epithelial,43.35996808462693,0.5004024235381879
42,0.0,1.0,0.0,0.0,398,1186,epithelial,23.656031598679373,0.5004024235381879
43,0.0,1.0,0.0,0.0,410,1208,epithelial,92.59793945813543,0.8486855577264172
44,0.0,1.0,0.0,0.0,449,1203,epithelial,34.02423288016074,0.45056120886630463
45,0.0,1.0,0.0,0.0,452,1169,epithelial,59.668304024681234,0.37677016125643675
46,0.0,1.0,0.0,0.0,484,1201,epithelial,41.25983299105909,0.410116318288409
47,0.0,1.0,0.0,0.0,518,1224,epithelial,31.488643679298267,0.410116318288409
48,0.0,1.0,0.0,0.0,499,1242,epithelial,23.39661132972974,0.0
49,0.0,1.0,0.0,0.0,495,1256,epithelial,48.690980124624964,0.410116318288409
50,0.0,1.0,0.0,0.0,479,1221,epithelial,38.73569591072192,0.0
51,0.0,1.0,0.0,0.0,519,1255,epithelial,29.197503953043867,0.0
52,0.0,1.0,0.0,0.0,545,1221,epithelial,36.993782308935785,0.410116318288409
53,0.0,1.0,0.0,0.0,598,1267,epithelial,51.91633368273556,0.9743147528693494
54,0.0,1.0,0.0,0.0,621,1262,epithelial,39.53883814828778,1.0789922078775833
55,0.0,1.0,0.0,0.0,560,1184,epithelial,42.07407861433934,0.8675632284814612
56,0.0,1.0,0.0,0.0,592,1142,epithelial,41.35248770850559,0.6365141682948128
57,0.0,1.0,0.0,0.0,610,1200,epithelial,55.237154745650514,0.6869615765973234
58,0.0,1.0,0.0,0.0,678,1058,epithelial,66.77900220508714,0.6829081047004717
59,0.0,1.0,0.0,0.0,702,1027,epithelial,85.21759144118246,0.37677016125643675
60,0.0,1.0,0.0,0.0,783,955,epithelial,60.34128306189923,0.45056120886630463
61,0.0,1.0,0.0,0.0,801,984,epithelial,62.661695490373134,0.37677016125643675
62,0.0,1.0,0.0,0.0,822,993,epithelial,37.406868677632,0.0
63,0.0,1.0,0.0,0.0,844,982,epithelial,63.89783961159491,0.410116318288409
64,0.0,1.0,0.0,0.0,852,953,epithelial,86.31255956180514,0.5004024235381879
65,0.0,1.0,0.0,0.0,832,1057,epithelial,66.05163048871725,0.34883209584303193
66,0.0,1.0,0.0,0.0,794,1100,epithelial,56.05530261766633,0.6931471805599453
67,0.0,1.0,0.0,0.0,759,1141,epithelial,31.541271640272168,0.6365141682948128
68,0.0,1.0,0.0,0.0,836,1164,epithelial,24.83847830928868,0.5004024235381879
69,0.0,1.0,0.0,0.0,814,1175,epithelial,26.46979810187353,0.6931471805599453
70,0.0,1.0,0.0,0.0,846,1196,epithelial,31.827997202745447,0.5623351446188083
71,0.0,1.0,0.0,0.0,865,1210,epithelial,32.41514971126994,0.6829081047004717
72,0.0,1.0,0.0,0.0,853,1224,epithelial,27.162716211731254,0.6829081047004717
73,0.0,1.0,0.0,0.0,824,1220,epithelial,33.201803204954565,0.6931471805599453
74,0.0,1.0,0.0,0.0,794,1231,epithelial,37.710979544539484,0.9743147528693494
75,0.0,1.0,0.0,0.0,852,1103,epithelial,50.5973184605152,0.5982695885852573
76,0.0,1.0,0.0,0.0,870,1088,epithelial,40.15393822996992,0.45056120886630463
77,0.0,1.0,0.0,0.0,911,1051,epithelial,55.5281652852987,0.5623351446188083
78,0.0,1.0,0.0,0.0,928,1064,epithelial,35.61053747501402,0.6829081047004717
79,0.0,1.0,0.0,0.0,898,1086,epithelial,31.242379156714048,0.6931471805599453
80,0.0,1.0,0.0,0.0,971,1069,epithelial,62.03399916784897,1.0821955300387671
81,0.0,1.0,0.0,0.0,947,896,epithelial,71.38718620056316,0.410116318288409
82,0.0,1.0,0.0,0.0,980,945,epithelial,62.93312050519794,0.410116318288409
83,0.0,1.0,0.0,0.0,1003,964,epithelial,45.79522469978612,0.45056120886630463
84,0.0,1.0,0.0,0.0,1014,913,epithelial,54.86497831126933,0.0
85,0.0,1.0,0.0,0.0,1014,879,epithelial,55.27833754431854,0.410116318288409
86,0.0,1.0,0.0,0.0,1016,939,epithelial,36.303214026555985,0.0
87,0.0,1.0,0.0,0.0,1065,958,epithelial,48.71980462964568,0.0
