id,lym,epi,fib,inf,x,y,gt,Cell_density,Node_Entropy
0,0.0,1.0,0.0,0.0,761,939,epithelial,20.878223286097892,0.0
1,0.0,1.0,0.0,0.0,679,881,epithelial,25.39286245357747,0.0
2,0.0,1.0,0.0,0.0,57,812,epithelial,41.044513691412554,0.0
3,0.0,1.0,0.0,0.0,89,866,epithelial,27.99362168828668,0.0
4,0.0,1.0,0.0,0.0,199,678,epithelial,24.152934904352612,0.45056120886630463
5,0.0,1.0,0.0,0.0,99,1310,epithelial,31.858745147903953,0.0
6,0.0,1.0,0.0,0.0,105,1359,epithelial,44.782886693651804,0.0
7,0.0,1.0,0.0,0.0,143,1639,epithelial,21.04254916627779,0.0
8,0.0,1.0,0.0,0.0,187,1677,epithelial,20.80272487462592,0.45056120886630463
9,0.0,0.0,1.0,0.0,642,1253,fibroblast and endothelial,46.30010623933547,0.0
10,0.0,0.0,1.0,0.0,594,1297,fibroblast and endothelial,47.81327886745383,0.45056120886630463
11,0.0,1.0,0.0,0.0,605,850,epithelial,25.175145263231453,0.0
12,0.0,1.0,0.0,0.0,398,1260,epithelial,37.44981146191382,0.0
13,0.0,0.0,1.0,0.0,509,1347,fibroblast and endothelial,75.71101623639662,0.8486855577264172
14,0.0,0.0,0.0,0.0,307,1708,apoptosis / civiatte body,19.653874285526218,0.7963116401738131
15,0.0,0.0,1.0,0.0,804,981,fibroblast and endothelial,46.973220808067964,0.6931471805599453
16,0.0,0.0,1.0,0.0,636,1111,inflammatory,66.70523643813502,0.37677016125643675
17,0.0,0.0,0.0,0.0,127,892,apoptosis / civiatte body,24.080041196764956,0.7963116401738131
18,1.0,0.0,0.0,0.0,261,611,lymphocyte,35.77994693233678,0.45056120886630463
19,1.0,0.0,0.0,0.0,355,651,lymphocyte,38.47481183590494,0.45056120886630463
20,1.0,0.0,0.0,0.0,240,674,lymphocyte,21.04570861321369,0.45056120886630463
21,0.0,0.0,1.0,0.0,707,1079,fibroblast and endothelial,72.60260711977986,0.410116318288409
22,0.0,0.0,0.0,1.0,524,1821,inflammatory,46.683767584728365,0.410116318288409
23,0.0,0.0,0.0,1.0,299,1876,inflammatory,90.07382942727108,0.6837389058487535
24,0.0,0.0,0.0,1.0,462,1889,inflammatory,46.78151688552079,0.8675632284814612
25,1.0,0.0,0.0,0.0,431,1904,lymphocyte,51.22887169021904,0.8675632284814612
26,0.0,0.0,1.0,0.0,468,1709,fibroblast and endothelial,84.25646683302985,0.0
27,0.0,0.0,1.0,0.0,1833,1210,fibroblast and endothelial,88.99941315234553,0.0
28,0.0,0.0,1.0,0.0,1917,1197,fibroblast and endothelial,129.93260721750303,0.37677016125643675
29,0.0,0.0,1.0,0.0,1775,1473,fibroblast and endothelial,93.68710726272417,0.45056120886630463
30,0.0,0.0,1.0,0.0,1885,1477,fibroblast and endothelial,146.11562248173874,0.37677016125643675
31,0.0,0.0,1.0,0.0,1820,1123,fibroblast and endothelial,72.34256363631603,0.0
32,0.0,0.0,1.0,0.0,1836,1107,fibroblast and endothelial,68.52156726613379,0.0
33,0.0,0.0,1.0,0.0,1596,1167,fibroblast and endothelial,54.79141296475707,0.0
34,0.0,0.0,1.0,0.0,1593,1184,fibroblast and endothelial,44.50386238565139,0.5004024235381879
35,0.0,0.0,1.0,0.0,1678,1354,fibroblast and endothelial,129.9839308748232,0.0
36,0.0,0.0,1.0,0.0,1902,1665,fibroblast and endothelial,112.66260844418929,0.410116318288409
37,0.0,0.0,1.0,0.0,1860,1592,fibroblast and endothelial,82.10098079037938,0.0
38,0.0,0.0,1.0,0.0,1853,1604,fibroblast and endothelial,95.3682214816136,0.45056120886630463
39,0.0,0.0,1.0,0.0,1934,1715,fibroblast and endothelial,114.46793641003596,0.5623351446188083
40,0.0,0.0,0.0,1.0,1936,1756,inflammatory,143.2453516326222,0.6730116670092565
41,0.0,0.0,1.0,0.0,1570,1539,fibroblast and endothelial,126.74471233648698,0.0
42,0.0,0.0,1.0,0.0,1592,1576,fibroblast and endothelial,155.96956794289508,0.5623351446188083
43,0.0,0.0,0.0,1.0,1819,1962,inflammatory,179.3764900072699,0.6931471805599453
44,0.0,0.0,1.0,0.0,1775,1956,fibroblast and endothelial,142.8373465176257,0.6365141682948128
