source,target,type,distance,Delta_Entropy,Sorenson_Similarity
0,1,0,121.82364302548172,0.0,0.25
2,1,0,38.897300677553446,0.0,0.5
0,2,0,109.17875251164945,0.0,0.4
3,2,0,52.3450093132096,0.0,0.4
0,3,0,87.20091742636656,0.0,0.4
4,3,0,48.84669896727925,0.0,0.4
4,0,0,75.27283706623525,0.0,0.4
0,5,0,82.76472678623425,0.0,0.2222222222222222
4,5,0,60.13318551349163,0.0,0.4444444444444444
3,6,0,62.96824596572466,0.0,0.36363636363636365
4,6,0,54.817880294662984,0.0,0.36363636363636365
2,7,0,93.26306878931231,0.0,0.3333333333333333
7,3,0,64.88451279003334,0.0,0.3333333333333333
6,7,0,42.2965719651132,0.0,0.3076923076923077
7,8,0,160.61133210331082,0.0,0.3076923076923077
8,2,0,172.19175357722565,0.0,0.36363636363636365
8,1,0,182.58422713914803,0.0,0.2222222222222222
6,10,0,66.85057965343307,0.0,0.3333333333333333
10,4,0,83.67795408588812,0.0,0.36363636363636365
10,5,0,86.31338250816034,0.0,0.4
11,10,0,41.677331968349414,0.0,0.3333333333333333
6,11,0,61.98386886924694,0.0,0.16666666666666666
7,9,0,142.24275025462634,0.0,0.3333333333333333
12,9,0,111.00450441310929,0.0,0.3333333333333333
7,12,0,77.4919350642375,0.0,0.2857142857142857
12,6,0,94.79451460923254,0.0,0.3076923076923077
12,11,0,84.5931439302264,0.0,0.3076923076923077
10,13,0,53.08483775994799,0.0,0.3333333333333333
13,11,0,50.44799302251776,0.0,0.5
5,14,0,154.35349040433132,0.0,0.2
14,10,0,102.55242561733974,0.0,0.3333333333333333
13,14,0,71.16881339463234,0.0,0.16666666666666666
15,14,0,80.99382692526635,0.0,0.2857142857142857
13,15,0,49.64876634922564,0.0,0.2857142857142857
18,14,0,43.41658669218482,0.0,0.3333333333333333
15,18,0,66.49060083951716,0.0,0.42857142857142855
18,22,0,26.870057685088806,0.410116318288409,0.46153846153846156
22,15,0,56.61271941887264,0.410116318288409,0.26666666666666666
19,21,0,14.212670403551895,0.04044489057789563,0.46153846153846156
19,22,0,25.0,0.04044489057789563,0.3076923076923077
22,21,0,37.589892258425,0.0,0.2857142857142857
22,23,0,24.413111231467404,0.09028610524977887,0.16666666666666666
18,23,0,33.015148038438355,0.5004024235381879,0.18181818181818182
19,23,0,28.792360097775937,0.04984121467188324,0.36363636363636365
23,24,0,17.69180601295413,0.16116081461979426,0.46153846153846156
24,19,0,39.11521443121589,0.2110020292916775,0.2857142857142857
24,18,0,47.80167361086848,0.6615632381579821,0.0
14,24,0,88.02272433866155,0.6615632381579821,0.14285714285714285
25,17,0,33.61547262794322,0.09028610524977887,0.3333333333333333
26,17,0,35.35533905932738,0.0,0.14285714285714285
25,26,0,18.439088914585774,0.09028610524977887,0.5
15,25,0,33.83784863137726,0.5004024235381879,0.46153846153846156
15,26,0,44.10215414239989,0.410116318288409,0.4
26,22,0,70.11419257183242,0.0,0.42857142857142855
26,21,0,59.53990258641679,0.0,0.42857142857142855
17,27,0,44.204072210600685,0.033346157031972246,0.26666666666666666
27,26,0,22.0,0.033346157031972246,0.4
21,27,0,52.46903848937962,0.033346157031972246,0.4
27,28,0,47.12748667179272,0.07379104760986788,0.2857142857142857
28,17,0,16.401219466856727,0.04044489057789563,0.3076923076923077
16,17,0,61.84658438426491,0.06128422244537707,0.25
28,16,0,57.30619512757761,0.1017291130232727,0.26666666666666666
29,28,0,24.0,0.45056120886630463,0.26666666666666666
29,27,0,46.09772228646444,0.37677016125643675,0.11764705882352941
29,30,0,44.28317965096906,0.37677016125643675,0.35294117647058826
30,31,0,11.180339887498949,0.37677016125643675,0.15384615384615385
29,31,0,45.45327270945405,0.0,0.14285714285714285
32,31,0,12.806248474865697,0.0,0.6
29,32,0,44.654227123532216,0.0,0.14285714285714285
31,33,0,17.46424919657298,0.0,0.3333333333333333
33,32,0,16.64331697709324,0.0,0.5
30,33,0,27.018512172212592,0.37677016125643675,0.13333333333333333
33,34,0,21.02379604162864,0.0,0.46153846153846156
35,34,0,22.0,0.5623351446188083,0.2857142857142857
33,35,0,29.698484809834994,0.5623351446188083,0.26666666666666666
35,30,0,52.0,0.18556498336237154,0.25
36,16,0,75.29276193632427,0.34883209584303193,0.35294117647058826
36,37,0,43.04648650006177,0.0,0.25
16,37,0,63.198101237299845,0.34883209584303193,0.11764705882352941
28,37,0,57.0087712549569,0.45056120886630463,0.2857142857142857
37,29,0,46.32493928760188,0.0,0.11764705882352941
32,37,0,16.1245154965971,0.0,0.46153846153846156
36,34,0,32.64965543462902,0.0,0.2857142857142857
34,37,0,34.828149534535996,0.0,0.14285714285714285
37,33,0,28.0178514522438,0.0,0.4
16,38,0,52.392747589718944,0.34883209584303193,0.4
36,38,0,54.57105459856901,0.0,0.42857142857142855
20,39,1,57.9396237474839,0.33839259769809527,0.36363636363636365
20,40,1,96.08329719571451,0.4059805408683268,0.16666666666666666
39,40,0,45.31004303683677,0.06758794317023153,0.46153846153846156
24,20,0,26.076809620810597,0.011448428851274395,0.46153846153846156
40,24,1,122.14745187681976,0.4174289697196012,0.13333333333333333
43,38,0,78.2368199762746,0.0,0.26666666666666666
43,36,0,59.033888572581766,0.0,0.11764705882352941
36,42,0,30.479501308256342,0.0,0.42857142857142855
42,43,0,39.84971769034255,0.0,0.26666666666666666
43,44,0,50.00999900019995,0.0,0.42857142857142855
45,44,0,34.132096331752024,0.0,0.3333333333333333
43,45,0,63.655321851358195,0.0,0.125
50,38,0,84.1486779456457,0.0,0.25
50,43,0,79.25906888173743,0.0,0.3157894736842105
50,44,0,79.63039620647382,0.0,0.26666666666666666
49,48,0,45.27692569068709,0.0,0.5454545454545454
51,49,0,77.92945527847606,0.0,0.2857142857142857
48,51,0,60.37383539249432,0.0,0.46153846153846156
47,48,0,37.589892258425,0.0,0.5454545454545454
51,47,0,49.658836071740545,0.0,0.2857142857142857
51,46,0,55.54277630799526,0.0,0.26666666666666666
46,52,0,61.29437168288782,0.0,0.13333333333333333
51,52,0,38.8329756778952,0.0,0.25
52,53,0,43.01162633521314,0.0,0.14285714285714285
46,53,0,56.753854494650845,0.0,0.3076923076923077
53,54,0,46.95742752749558,0.0,0.36363636363636365
52,54,0,48.30113870293329,0.0,0.15384615384615385
54,55,0,29.0,0.0,0.5454545454545454
52,55,0,64.03124237432849,0.0,0.2857142857142857
55,56,0,36.124783736376884,0.0,0.3076923076923077
54,56,0,28.844410203711913,0.0,0.16666666666666666
56,53,0,66.18912297349165,0.0,0.3076923076923077
55,57,0,52.20153254455275,0.0,0.5
52,57,0,94.51454914456292,0.0,0.14285714285714285
58,56,0,103.36827366266692,0.0,0.26666666666666666
58,55,0,74.02702209328699,0.0,0.2857142857142857
57,58,0,29.410882339705484,0.0,0.2857142857142857
57,59,0,71.21797525905943,0.0,0.42857142857142855
52,59,0,94.64142856064674,0.0,0.125
59,51,0,90.13878188659973,0.0,0.125
59,49,0,46.69047011971501,0.0,0.2857142857142857
59,60,0,38.27531841800928,0.0,0.2857142857142857
60,57,0,60.40695324215582,0.0,0.3333333333333333
60,58,0,67.88225099390856,0.0,0.42857142857142855
38,61,0,38.01315561749642,0.0,0.14285714285714285
61,50,0,67.23094525588644,0.0,0.3333333333333333
61,9,0,95.51963149007642,0.0,0.3076923076923077
12,61,0,103.39245620450265,0.0,0.26666666666666666
16,12,0,88.09086218218096,0.34883209584303193,0.375
61,16,0,75.43208866258443,0.34883209584303193,0.11764705882352941
9,63,0,37.64306044943742,0.0,0.36363636363636365
63,61,0,82.80700453464067,0.0,0.2857142857142857
63,64,0,57.14017850864661,0.0,0.3333333333333333
9,64,0,34.40930106817051,0.0,0.18181818181818182
64,8,0,39.81205847478876,0.0,0.3333333333333333
64,7,0,154.042202009709,0.0,0.6153846153846154
65,8,0,78.49203781276162,0.0,0.3333333333333333
64,65,0,65.25335240430181,0.0,0.16666666666666666
63,65,0,71.28113354878694,0.0,0.3333333333333333
63,62,0,30.265491900843113,0.0,0.3076923076923077
62,65,0,89.02246907382428,0.0,0.15384615384615385
66,65,0,65.29931086925804,0.0,0.3333333333333333
62,66,0,108.66922287382016,0.0,0.3076923076923077
67,66,0,63.788713735268246,0.0,0.46153846153846156
67,62,0,96.20810776644555,0.0,0.2857142857142857
50,62,0,57.0350769263968,0.0,0.35294117647058826
67,50,0,90.95603333479313,0.0,0.23529411764705882
68,66,0,42.43819034784589,0.0,0.46153846153846156
68,67,0,62.80127387243033,0.0,0.2857142857142857
69,67,0,55.0,0.0,0.42857142857142855
69,68,0,38.3275357934736,0.0,0.2857142857142857
49,69,0,46.87216658103186,0.0,0.3076923076923077
59,69,0,77.07788269017254,0.0,0.4
68,70,0,100.80674580602232,0.0,0.42857142857142855
69,70,0,95.90099061010788,0.0,0.2857142857142857
70,59,0,82.76472678623425,0.0,0.26666666666666666
60,70,0,60.07495318350236,0.0,0.15384615384615385
8,71,0,147.3295625460145,0.0,0.18181818181818182
65,71,0,80.05623023850174,0.0,0.36363636363636365
66,71,0,49.20365840057018,0.0,0.18181818181818182
68,71,0,63.198101237299845,0.0,0.16666666666666666
70,72,0,73.00684899377592,0.0,0.16666666666666666
72,68,0,68.81860213634101,0.0,0.16666666666666666
71,72,0,65.19202405202648,0.0,0.2
72,73,0,128.87590930814028,0.0,0.16666666666666666
70,73,0,77.92945527847606,0.0,0.14285714285714285
73,58,0,124.1933975700802,0.0,0.26666666666666666
73,60,0,107.62899237658968,0.0,0.3076923076923077
73,74,0,92.47702417357513,0.0,0.36363636363636365
75,58,0,136.75159962501354,0.0,0.42857142857142855
75,73,0,94.89467845985885,0.0,0.15384615384615385
74,75,0,12.36931687685298,0.0,0.2
75,76,0,95.0789145920377,0.0,0.5454545454545454
76,74,0,97.6165969494942,0.0,0.2222222222222222
56,77,0,158.61904047118682,0.0,0.46153846153846156
58,77,0,107.8563859954523,0.0,0.42857142857142855
77,75,0,106.6770828247567,0.0,0.3333333333333333
77,76,0,122.06555615733703,0.0,0.36363636363636365
76,78,0,109.17875251164945,0.0,0.4444444444444444
77,78,0,122.06555615733703,0.0,0.2
78,56,0,263.09694030908076,0.0,0.18181818181818182
79,40,0,72.44308110509934,0.0,0.42857142857142855
39,79,0,64.66065264130884,0.06758794317023153,0.3076923076923077
80,40,0,194.0025773024678,0.18104648302080362,0.35294117647058826
80,79,0,122.20065466273084,0.18104648302080362,0.35294117647058826
80,30,1,79.62411694957753,0.521175563600343,0.2222222222222222
80,35,1,53.85164807134504,0.3356105802379714,0.3333333333333333
35,41,1,27.730849247724095,0.11067652239044823,0.46153846153846156
80,41,0,37.48332962798263,0.22493405784752318,0.13333333333333333
39,81,1,55.78530272392541,0.3284961600068801,0.15384615384615385
20,81,0,35.0,0.009896437691215176,0.5
21,81,0,23.853720883753127,0.2727917864120627,0.2857142857142857
19,81,0,29.068883707497267,0.23234689583416707,0.15384615384615385
81,24,0,45.221676218380054,0.02134486654248957,0.4
79,82,1,94.04786015641186,0.28268056770377026,0.2857142857142857
82,39,1,71.84705978674423,0.21509262453353872,0.15384615384615385
81,82,0,27.459060435491963,0.11340353547334137,0.2857142857142857
82,21,0,20.518284528683193,0.38619532188540406,0.42857142857142855
27,82,0,43.9089968002003,0.4195414789173763,0.4
82,83,0,34.0147027033899,0.38619532188540406,0.14285714285714285
27,83,0,21.37755832643195,0.033346157031972246,0.13333333333333333
83,29,0,50.21951811795888,0.410116318288409,0.5
83,79,1,96.1041102138717,0.6688758895891743,0.14285714285714285
79,84,1,83.60023923410746,0.44247803958277054,0.3076923076923077
83,84,0,40.36087214122113,0.22639785000640378,0.15384615384615385
84,80,1,103.24727599312246,0.2614315565619669,0.125
30,84,0,38.05259518088089,0.259744007038376,0.42857142857142855
85,30,0,32.202484376209235,0.37677016125643675,0.15384615384615385
