id,lym,epi,fib,inf,x,y,gt,Cell_density,Node_Entropy
0,0.0,1.0,0.0,0.0,251,341,fibroblast and endothelial,78.35554795888397,0.0
1,0.0,1.0,0.0,0.0,232,378,fibroblast and endothelial,42.32448510800549,0.0
2,0.0,1.0,0.0,0.0,272,329,fibroblast and endothelial,46.16613842584093,0.0
3,0.0,1.0,0.0,0.0,283,341,fibroblast and endothelial,42.346208672727755,0.0
4,0.0,1.0,0.0,0.0,279,358,fibroblast and endothelial,49.02319816253117,0.0
5,0.0,1.0,0.0,0.0,248,381,fibroblast and endothelial,23.172754594237063,0.0
6,0.0,1.0,0.0,0.0,263,381,fibroblast and endothelial,37.35980112438837,0.0
7,0.0,1.0,0.0,0.0,251,402,fibroblast and endothelial,47.21141928344468,0.0
8,0.0,1.0,0.0,0.0,238,402,fibroblast and endothelial,20.397325183726494,0.0
9,0.0,1.0,0.0,0.0,228,420,fibroblast and endothelial,32.543389700783216,0.0
10,0.0,1.0,0.0,0.0,223,437,fibroblast and endothelial,36.597904579494724,0.0
11,0.0,1.0,0.0,0.0,222,454,fibroblast and endothelial,43.06522775906901,0.0
12,0.0,1.0,0.0,0.0,193,460,fibroblast and endothelial,26.328368022203712,0.0
13,0.0,1.0,0.0,0.0,185,451,fibroblast and endothelial,58.30088310160597,0.0
14,0.0,1.0,0.0,0.0,170,476,fibroblast and endothelial,114.71605398038179,0.5297061990576545
15,0.0,1.0,0.0,0.0,183,482,fibroblast and endothelial,38.53001670502389,0.0
16,0.0,1.0,0.0,0.0,216,517,fibroblast and endothelial,43.1433815863811,0.0
17,0.0,1.0,0.0,0.0,194,539,fibroblast and endothelial,47.431827398277704,0.0
18,0.0,1.0,0.0,0.0,167,587,fibroblast and endothelial,58.4238623298657,0.0
19,0.0,1.0,0.0,0.0,141,613,fibroblast and endothelial,82.83665061027668,0.45056120886630463
20,0.0,1.0,0.0,0.0,245,498,fibroblast and endothelial,33.719810032799515,0.0
21,0.0,1.0,0.0,0.0,263,484,fibroblast and endothelial,45.25556247622226,0.0
22,0.0,1.0,0.0,0.0,288,480,fibroblast and endothelial,47.8289877881468,0.0
23,0.0,1.0,0.0,0.0,279,507,fibroblast and endothelial,35.21561821589406,0.0
24,0.0,1.0,0.0,0.0,288,532,fibroblast and endothelial,56.37555843919932,0.0
25,0.0,1.0,0.0,0.0,249,524,fibroblast and endothelial,31.48417579959006,0.0
26,0.0,1.0,0.0,0.0,251,547,fibroblast and endothelial,43.52630434134762,0.0
27,0.0,1.0,0.0,0.0,216,562,fibroblast and endothelial,34.65630309756254,0.0
28,0.0,1.0,0.0,0.0,197,580,fibroblast and endothelial,36.8728764632987,0.0
29,0.0,1.0,0.0,0.0,161,639,fibroblast and endothelial,49.75795240633653,0.0
30,0.0,1.0,0.0,0.0,179,655,fibroblast and endothelial,46.54500030397641,0.0
31,0.0,1.0,0.0,0.0,206,636,fibroblast and endothelial,41.86660216902919,0.0
32,0.0,1.0,0.0,0.0,228,614,fibroblast and endothelial,25.743582515969635,0.0
33,0.0,1.0,0.0,0.0,219,613,fibroblast and endothelial,20.368737677513447,0.0
34,0.0,1.0,0.0,0.0,213,626,fibroblast and endothelial,29.376460059268524,0.0
35,0.0,1.0,0.0,0.0,230,591,fibroblast and endothelial,37.184676561715364,0.0
36,0.0,1.0,0.0,0.0,230,622,fibroblast and endothelial,23.741932765940984,0.0
37,0.0,1.0,0.0,0.0,234,636,fibroblast and endothelial,24.88946257007863,0.0
38,0.0,1.0,0.0,0.0,245,642,fibroblast and endothelial,57.49541724015715,0.0
39,0.0,1.0,0.0,0.0,289,600,fibroblast and endothelial,79.6330137320331,0.0
40,0.0,1.0,0.0,0.0,331,480,fibroblast and endothelial,62.03465395103854,0.0
41,0.0,1.0,0.0,0.0,320,434,fibroblast and endothelial,67.98760403629532,0.0
42,0.0,1.0,0.0,0.0,357,378,fibroblast and endothelial,73.94844576643786,0.0
43,0.0,1.0,0.0,0.0,332,301,fibroblast and endothelial,48.61183822488285,0.0
44,0.0,1.0,0.0,0.0,331,278,fibroblast and endothelial,79.84670039288075,0.410116318288409
45,0.0,1.0,0.0,0.0,344,274,fibroblast and endothelial,36.754886153534756,0.5004024235381879
46,0.0,1.0,0.0,0.0,357,281,fibroblast and endothelial,39.395635530962046,0.5004024235381879
47,0.0,1.0,0.0,0.0,377,296,fibroblast and endothelial,61.50025414778114,0.410116318288409
48,0.0,1.0,0.0,0.0,408,212,inflammatory,82.59078862113552,0.37677016125643675
49,0.0,1.0,0.0,0.0,446,165,fibroblast and endothelial,135.8902011702251,0.410116318288409
50,0.0,1.0,0.0,0.0,557,144,fibroblast and endothelial,86.31737893164079,0.0
51,0.0,1.0,0.0,0.0,571,202,fibroblast and endothelial,94.59937846948807,0.0
52,0.0,1.0,0.0,0.0,542,281,fibroblast and endothelial,130.58247518625367,0.410116318288409
53,0.0,1.0,0.0,0.0,477,247,fibroblast and endothelial,79.17365871751399,0.45056120886630463
54,0.0,1.0,0.0,0.0,436,281,fibroblast and endothelial,79.29413309297998,0.410116318288409
55,0.0,1.0,0.0,0.0,410,375,fibroblast and endothelial,115.97294961799628,0.34883209584303193
56,0.0,1.0,0.0,0.0,399,356,fibroblast and endothelial,54.225974026880266,0.0
57,0.0,1.0,0.0,0.0,570,456,fibroblast and endothelial,114.01406633623665,0.45056120886630463
58,0.0,1.0,0.0,0.0,544,482,fibroblast and endothelial,77.79492007173894,0.6365141682948128
59,0.0,1.0,0.0,0.0,560,500,fibroblast and endothelial,39.024874731889255,0.5982695885852573
60,0.0,1.0,0.0,0.0,562,519,fibroblast and endothelial,49.97370085795514,0.45056120886630463
61,0.0,1.0,0.0,0.0,608,497,fibroblast and endothelial,104.86574076252406,0.0
62,0.0,1.0,0.0,0.0,438,519,fibroblast and endothelial,79.01508297378962,0.37677016125643675
63,0.0,1.0,0.0,0.0,415,515,fibroblast and endothelial,31.6054717491049,0.0
64,0.0,1.0,0.0,0.0,399,523,fibroblast and endothelial,44.56654313325276,0.0
65,0.0,1.0,0.0,0.0,373,472,fibroblast and endothelial,72.10068763209932,0.0
66,0.0,1.0,0.0,0.0,380,561,fibroblast and endothelial,67.45634151397118,0.0
67,0.0,1.0,0.0,0.0,417,540,fibroblast and endothelial,47.36975477349921,0.0
68,0.0,1.0,0.0,0.0,525,546,fibroblast and endothelial,63.49209592769726,0.5004024235381879
69,0.0,1.0,0.0,0.0,456,610,fibroblast and endothelial,92.82243548932544,0.3250829733914482
70,0.0,1.0,0.0,0.0,845,502,fibroblast and endothelial,171.7662514673947,0.0
71,0.0,1.0,0.0,0.0,867,544,fibroblast and endothelial,87.56678645443937,0.0
72,0.0,1.0,0.0,0.0,885,576,fibroblast and endothelial,99.53026647314945,0.0
73,0.0,1.0,0.0,0.0,731,567,fibroblast and endothelial,78.65836106940648,0.0
74,0.0,1.0,0.0,0.0,753,576,fibroblast and endothelial,111.0003729629696,0.0
75,0.0,1.0,0.0,0.0,715,597,fibroblast and endothelial,48.175648582916054,0.0
76,0.0,1.0,0.0,0.0,677,599,fibroblast and endothelial,74.821181194177,0.0
77,0.0,1.0,0.0,0.0,619,587,fibroblast and endothelial,47.58459645020373,0.0
78,0.0,1.0,0.0,0.0,598,588,fibroblast and endothelial,76.63786806332288,0.0
79,0.0,1.0,0.0,0.0,608,603,fibroblast and endothelial,54.77345968644083,0.0
80,0.0,1.0,0.0,0.0,558,461,inflammatory,85.83444939264848,0.45056120886630463
81,0.0,1.0,0.0,0.0,506,523,inflammatory,61.50555289245199,0.410116318288409
82,0.0,1.0,0.0,0.0,709,674,fibroblast and endothelial,81.42083022911824,0.0
83,0.0,1.0,0.0,0.0,740,730,fibroblast and endothelial,109.7861424673747,0.0
84,0.0,1.0,0.0,0.0,638,721,fibroblast and endothelial,69.59083123304777,0.0
85,0.0,1.0,0.0,0.0,636,679,fibroblast and endothelial,59.89248384430777,0.0
86,0.0,1.0,0.0,0.0,621,718,fibroblast and endothelial,38.177036290393815,0.0
87,0.0,1.0,0.0,0.0,601,711,fibroblast and endothelial,46.62520303696803,0.0
88,0.0,1.0,0.0,0.0,593,688,fibroblast and endothelial,94.4074683534472,0.0
