id,lym,epi,fib,inf,x,y,gt,Cell_density,Node_Entropy
0,0.0,1.0,0.0,0.0,426,66,epithelial,183.0745554880594,0.0
1,0.0,1.0,0.0,0.0,499,82,epithelial,75.87612452827797,0.45056120886630463
2,0.0,1.0,0.0,0.0,528,90,epithelial,52.62320904182074,0.5004024235381879
3,0.0,1.0,0.0,0.0,560,108,epithelial,57.47550107829729,0.45056120886630463
4,0.0,1.0,0.0,0.0,610,67,epithelial,86.95606501193633,0.37677016125643675
5,0.0,1.0,0.0,0.0,579,130,epithelial,45.965083632923765,0.45056120886630463
6,1.0,0.0,0.0,0.0,587,78,lymphocyte,53.63382369340986,0.410116318288409
7,0.0,1.0,0.0,0.0,610,128,epithelial,46.491927109178796,0.410116318288409
8,0.0,1.0,0.0,0.0,471,151,epithelial,116.70644757953421,0.0
9,0.0,1.0,0.0,0.0,568,190,epithelial,74.78847239256653,0.0
10,0.0,1.0,0.0,0.0,590,211,epithelial,52.929447320734674,0.0
11,0.0,1.0,0.0,0.0,473,336,epithelial,142.88926926949176,0.0
12,0.0,1.0,0.0,0.0,560,301,epithelial,85.07928766645395,0.0
13,0.0,1.0,0.0,0.0,579,324,epithelial,36.24690068082464,0.0
14,0.0,1.0,0.0,0.0,601,307,epithelial,37.955314886774566,0.0
15,0.0,1.0,0.0,0.0,556,357,epithelial,61.07419712489631,0.0
16,0.0,1.0,0.0,0.0,508,378,epithelial,86.67750836900011,0.0
17,0.0,1.0,0.0,0.0,579,414,epithelial,102.25022175673804,0.0
18,0.0,0.0,0.0,1.0,492,484,epithelial,89.19976091753253,0.0
19,0.0,1.0,0.0,0.0,432,495,epithelial,108.50785086552472,0.0
20,0.0,1.0,0.0,0.0,429,560,epithelial,107.52863822319755,0.0
21,0.0,1.0,0.0,0.0,419,607,epithelial,144.1593910128096,0.0
22,0.0,1.0,0.0,0.0,555,508,epithelial,121.51372697608191,0.0
23,0.0,1.0,0.0,0.0,607,625,epithelial,131.44845622269705,0.37677016125643675
24,0.0,1.0,0.0,0.0,573,694,epithelial,123.22302278006912,0.45056120886630463
25,0.0,1.0,0.0,0.0,513,777,epithelial,169.84548759361584,0.0
26,0.0,1.0,0.0,0.0,557,877,epithelial,175.65632764285277,0.0
27,0.0,1.0,0.0,0.0,546,1027,epithelial,177.12816831515195,0.0
28,0.0,1.0,0.0,0.0,604,1080,epithelial,146.70203098602389,0.410116318288409
29,0.0,1.0,0.0,0.0,764,23,epithelial,94.55605755847007,1.242453324894
30,0.0,1.0,0.0,0.0,710,29,epithelial,82.44961467179516,0.0
31,0.0,1.0,0.0,0.0,745,45,epithelial,35.07614144177653,0.9002560512685369
32,0.0,1.0,0.0,0.0,721,44,epithelial,19.060706438409312,0.0
33,0.0,1.0,0.0,0.0,678,57,epithelial,43.085045284994,0.0
34,0.0,1.0,0.0,0.0,717,58,epithelial,30.52723745891855,0.410116318288409
35,0.0,1.0,0.0,0.0,697,75,epithelial,33.24160592447214,0.8675632284814612
36,0.0,1.0,0.0,0.0,692,88,epithelial,29.02672362658914,0.5004024235381879
37,0.0,1.0,0.0,0.0,652,95,epithelial,42.09574875227154,0.0
38,0.0,1.0,0.0,0.0,675,102,epithelial,32.55256628309409,0.45056120886630463
39,0.0,1.0,0.0,0.0,668,114,epithelial,53.60001465386873,0.9743147528693494
40,0.0,1.0,0.0,0.0,643,148,epithelial,41.634838357630755,0.45056120886630463
41,1.0,0.0,0.0,0.0,783,61,lymphocyte,43.892720285798255,0.9002560512685369
42,0.0,0.0,1.0,0.0,763,76,fibroblast and endothelial,27.438127900536795,1.0549201679861442
43,1.0,0.0,0.0,0.0,744,91,lymphocyte,36.45475292464856,1.2554823251787537
44,0.0,0.0,0.0,1.0,732,111,inflammatory,44.38999998213428,1.2130075659799042
45,0.0,0.0,1.0,0.0,776,97,fibroblast and endothelial,30.49964088398812,0.5982695885852573
46,0.0,0.0,1.0,0.0,769,118,fibroblast and endothelial,29.983863827022045,0.7963116401738131
47,0.0,0.0,1.0,0.0,853,62,fibroblast and endothelial,69.02594739312896,1.15374194270109
48,0.0,0.0,1.0,0.0,836,76,fibroblast and endothelial,34.38014508331015,0.410116318288409
49,0.0,0.0,1.0,0.0,869,66,fibroblast and endothelial,50.09806409361217,0.45056120886630463
50,0.0,0.0,1.0,0.0,809,87,fibroblast and endothelial,32.010840774746114,0.45056120886630463
51,0.0,0.0,1.0,0.0,826,97,fibroblast and endothelial,32.04506063073959,0.0
52,0.0,0.0,1.0,0.0,794,124,fibroblast and endothelial,30.098175615269486,0.0
53,0.0,0.0,1.0,0.0,776,139,fibroblast and endothelial,27.563342768732138,0.0
54,0.0,0.0,1.0,0.0,804,138,fibroblast and endothelial,32.438305126979536,0.410116318288409
55,0.0,0.0,1.0,0.0,785,159,fibroblast and endothelial,29.09861015346467,0.8675632284814612
56,0.0,0.0,1.0,0.0,742,141,fibroblast and endothelial,38.02276718785716,0.7963116401738131
57,0.0,0.0,1.0,0.0,739,159,fibroblast and endothelial,41.82796727377146,0.410116318288409
58,0.0,0.0,1.0,0.0,755,168,fibroblast and endothelial,36.42829114886775,0.6837389058487535
59,0.0,1.0,0.0,0.0,622,166,epithelial,47.42773200504224,0.37677016125643675
60,0.0,1.0,0.0,0.0,623,205,epithelial,49.71244418738792,0.6829081047004717
61,0.0,0.0,1.0,0.0,675,181,fibroblast and endothelial,51.62567795037118,0.6931471805599453
62,0.0,1.0,0.0,0.0,621,251,epithelial,51.5889506617135,0.37677016125643675
63,0.0,0.0,1.0,0.0,650,259,fibroblast and endothelial,45.48018904048585,0.6829081047004717
64,0.0,0.0,1.0,0.0,685,207,fibroblast and endothelial,44.11083943635302,0.410116318288409
65,0.0,0.0,1.0,0.0,713,194,fibroblast and endothelial,32.03217234291195,0.0
